P1248 ,Turbo Boost Pressure Not Detected
B1414 ,Power Window LR Motor Circuit Failure
B1404 ,Driver Power Window Down Circuit Open
B1419 ,Passenger Power Window Motor Circuit Open
C1950 ,Accelerometer Sensor Circuit Failure
C1095 ,ABS Hydraulic Pump Motor Circuit Failure
C1105 ,Traction Control Disable Lamp - Circuit Short to Battery
P1270 ,Engine RPM Or Speed Limiter Reached
P1240 ,Sensor Power Supply Malfunction
C1937 ,Steering Wheel Angle Sensor Offset Failure
U1007 ,SCP (J1850) Invalid or Missing Data for Primary Id
C1935 ,Chime Circuit Failure
C1958 ,Dynamic Stability Control Valve LF Circuit Failure
C1107 ,ABS Function Enabled Input Circuit Failure
U1006 ,SCP (J1850) Invalid or Missing Data for Primary Id
C1938 ,Invalid Steering Wheel Angle Sensor ID
B1401 ,Driver Power Window One Touch Window Relay Circuit Short To Ground
P1244 ,Alternator Load Input Failed High
C1949 ,Accelerometer Sensor Circuit Open
B1427 ,Lamp Seat Belt Circuit Open
P1221 ,Traction Control System Malfunction
P1226 ,Control Sleeve Sensor Malfunction
U1002 ,SCP (J1850) Invalid or Missing Data for Primary Id
P1241 ,Sensor Power Supply Low Input
C1960 ,Driver Brake Apply Circuit Fault
U1006 ,SCP (J1850) Invalid or Missing Data for Primary Id
P1257 ,Pedal Correlation PDS2 and HPDS
C1107 ,ABS Function Enabled Input Circuit Failure
P1264 ,Cylinder #4 High To Low Side Short
C1115 ,ABS Power Relay Output Short Circuit To Battery
B1420 ,Passenger Power Window Motor Circuit Short To Battery
P1251 ,Air Mixture Solenoid Circuit Malfunction
B1412 ,Driver Power Window Motor Circuit Short To Battery
B1411 ,Driver Power Window Motor Circuit Open
C1960 ,Driver Brake Apply Circuit Fault
B1425 ,Power Window RR Motor Circuit Short To Ground
P1259 ,Immobilizer to PCM Signal Error
C1100 ,ABS Pump Switch Circuit Failure
U1007 ,SCP (J1850) Invalid or Missing Data for Primary Id
C1959 ,Lateral Accelerometer Sensor Circuit Failure
P1236 ,Fuel Pump Control Out Of Range
