P1220 ,Series Throttle Control System Malfunction
P1221 ,Traction Control System Malfunction
P1222 ,Traction Control Output Circuit Malfunction
P1223 ,Pedal Demand Sensor B Circuit High Input
P1224 ,Throttle Position Sensor B Out Of Self Test Range
P1225 ,Needle Lift Sensor Malfunction
P1226 ,Control Sleeve Sensor Malfunction
P1227 ,Wastegate Failed Closed (Over Pressure)
P1228 ,Wastegate Failed Open (Under Pressure)
P1229 ,Intercooler Pump Driver Fault
P1230 ,Fuel Pump Low Speed Malfunction
P1231 ,"Fuel Pump Secondary Circuit Low, High Speed"
P1232 ,Fuel Pump Speed Primary Circuit Malfunction
P1233 ,Fuel Pump Driver Module Off Line
P1234 ,Fuel Pump Driver Module Off Line
P1235 ,Fuel Pump Control Out Of Range
P1236 ,Fuel Pump Control Out Of Range
P1237 ,Fuel Pump Secondary Circuit Malfunction
P1238 ,Fuel Pump Secondary Circuit Malfunction
P1239 ,Speed Fuel Pump Positive Feed Fault
P1240 ,Sensor Power Supply Malfunction
P1241 ,Sensor Power Supply Low Input
P1242 ,Sensor Power Supply High Input
P1243 ,Second Fuel Pump Faulty or Ground Fault
P1244 ,Alternator Load Input Failed High
P1245 ,Alternator Load Input Failed Low
P1246 ,Alternator Load Input Failed
P1247 ,Turbo Boost Pressure Low
P1248 ,Turbo Boost Pressure Not Detected
P1249 ,Wastegate Control Valve Performance
P1250 ,PRC Solenoid Circuit Malfunction
P1251 ,Air Mixture Solenoid Circuit Malfunction
P1252 ,Pedal Correlation PDS1 and LPDS High
P1253 ,Pedal Correlation PDS1 and LPDS Low
P1254 ,Pedal Correlation PDS2 and LPDS High
P1255 ,Pedal Correlation PDS2 and LPDS Low
P1256 ,Pedal Correlation PDS1 and HPDS
P1257 ,Pedal Correlation PDS2 and HPDS
P1258 ,Pedal Correlation PDS1 and PDS2
P1259 ,Immobilizer to PCM Signal Error
P1260 ,"THEFT Detected, Vehicle Immobilzed"
P1261 ,Cylinder #1 High To Low Side Short
P1262 ,Cylinder #2 High To Low Side Short
P1263 ,Cylinder #3 High To Low Side Short
P1264 ,Cylinder #4 High To Low Side Short
P1265 ,Cylinder #5 High To Low Side Short
P1266 ,Cylinder #6 High To Low Side Short
P1267 ,Cylinder #7 High To Low Side Short
P1268 ,Cylinder #8 High To Low Side Short
P1269 ,Immobilizer Code Not Programmed
P1270 ,Engine RPM Or Speed Limiter Reached
C1091 ,Speed Wheel Sensor All Coherency Failure
C1095 ,ABS Hydraulic Pump Motor Circuit Failure
C1096 ,ABS Hydraulic Pump Motor Circuit Open
C1097 ,ABS Hydraulic Pump Motor Circuit Short To Ground
C1098 ,ABS Hydraulic Pump Motor Circuit Short To Battery
C1100 ,ABS Pump Switch Circuit Failure
C1101 ,ABS Hydraulic Valve Circuit Failure
C1102 ,ABS Acceleration Switch Circuit Failure
C1103 ,ABS Hydraulic Brake Switch Circuit Failure
C1104 ,Traction Control Active Lamp - Circuit Short to Battery
C1105 ,Traction Control Disable Lamp - Circuit Short to Battery
C1106 ,Traction Control Disable Switch Circuit Short to Battery
